town,postcode,type
ABINGDON DOWNS,4871,2
ACACIA HILLS,822,1
ADAVALE,4474,2
ADELAIDE RIVER,846,1
AHERRENGE,872,1
ALAWA,810,1
ALI CURUNG,872,1
ALICE SPRINGS,870,1
ALICE SPRINGS,872,1
ALMADEN,4871,2
ALOOMBA,4871,2
ALYANGULA,885,2
AMATA,872,1
AMERICAN BEACH,5222,2
AMERICAN RIVER,5221,2
AMOONGUNA,873,2
AMPILATWATJA,872,1
ANATYE,872,1
ANDAMOOKA,5722,3
ANDURAMBA,4355,2
ANGLEDOOL,2832,2
ANGURUGU,822,1
ANINDILYAKWA,822,1
ANMATJERE,872,1
ANNIE RIVER,822,1
ANTEWENEGERRDE,872,1
ANULA,812,1
ARALUEN,870,1
ARCHER,830,1
ARCHER RIVER,4871,2
ARCHERTON,3723,1
AREA C MINE,6753,2
AREYONGA,872,1
ARNOLD,852,2
ARUMBERA,873,2
ASCOT,4359,3
ATITJERE,872,1
AURUKUN,4871,2
AUSTINVILLE,4213,1
AVON DOWNS,862,2
AYERS RANGE SOUTH,872,1
AYERS ROCK,872,1
AYTON,4895,2
BADU ISLAND,4875,3
BAGOT,820,1
BAINES,852,2
BAKEWELL,832,1
BALGOWAN,5573,1
BALLADONIA,6443,3
BALRANALD,2715,3
BAMAGA,4876,3
BANKS ISLAND,4875,3
BARJARG,3723,1
BARRINGUN,2840,2
BARROW CREEK,872,1
BARUNGA,852,2
BATCHELOR,845,1
BATHURST ISLAND,822,1
BAUDIN BEACH,5222,2
BAY OF SHOALS,5223,2
BAYVIEW,820,1
BEDOURIE,4829,2
BEES CREEK,822,1
BEILPAJAH,2878,3
BELL,4408,2
BELLAMACK,832,1
BELLENDEN KER,4871,2
BELYUEN,822,1
BERRIMAH,828,1
BERRY SPRINGS,838,1
BESWICK,852,2
BESWICK CREEK,852,2
BIDDADDABA,4275,2
BILINGURR,6725,2
BILLA BILLA,4390,2
BILWON,4880,2
BINJARI,852,2
BIRCHMORE,5223,2
BIRDSVILLE,4482,2
BIRDUM,852,2
BLACK JUNGLE,822,1
BLACKMORE,822,1
BLOOMFIELD,4895,2
BODDINGTON GOLD MINE,6390,1
BOEILL CREEK,2648,2
BOIGU,4875,3
BOIGU ISLAND,4875,3
BOMBALA,2632,1
BONGEEN,4356,3
BONSHAW,4385,3
BOOGAN,4871,2
BOOROLITE,3723,1
BOOROOMA,2832,2
BOORTKOI,4415,3
BORDER STORE,822,1
BORROLOOLA,854,2
BOULIA,4829,2
BOURKE,2840,2
BRADSHAW,852,2
BRAITLING,870,1
BRAMSTON BEACH,4871,2
BREWARRINA,2839,2
BRIDGE CREEK,3723,1
BRINKIN,810,1
BROADMERE,4420,3
BROCKMAN,6701,2
BROWNLOW,5374,2
BRUNCHILLY,861,2
